id,title,artist,danceability,decade,Track URI,Genre,recommended,recommendations
SOTITAT144C281345F,Lose Yourself,Eminem,0.776651,2000s,http://dbpedia.org/resource/Lose_Yourself,HipHop,Angel,Yeah!;In Da Club;Low (Feat. T-Pain) (Album Version);Crazy In Love;Don't Cha;Crazy;Lonely;Shut Up;The Way I Are;Gold Digger;Ms. Jackson;Single Ladies;Angel;Maria Maria;Smack That;The Real Slim Shady;Just Lose It;
SODETSB15069FF687E,Umbrella,Rihanna,0.319793,2000s,http://dbpedia.org/resource/Umbrella_(song),Electronic HipHop,Fuck It (I Don't Want You Back),Hey Ya!;Beautiful Liar;Right Round;Don't Stop The Music;We Belong Together;Stronger;Fuck It (I Don't Want You Back);Stan;Don't Phunk With My Heart;Let Me Love You;Love Don't Cost a Thing;
SOLZSKI1460D0A2977,Poker Face,Lady Gaga,0.853247,2000s,http://dbpedia.org/resource/Poker_Face_(Lady_Gaga_song),Electronic Pop,JUST DANCE,SexyBack;Hung Up;JUST DANCE;All The Things She Said;4 Minutes;Hero;Take A Bow;
SOGWIPI13FAE3BB504,Hey Ya!,OutKast,0.645912,2000s,http://dbpedia.org/resource/Hey_Ya!,Electronic HipHop,We Belong Together,Umbrella;Beautiful Liar;Right Round;Don't Stop The Music;We Belong Together;Stronger;Fuck It (I Don't Want You Back);Stan;Don't Phunk With My Heart;Let Me Love You;Love Don't Cost a Thing;
SOZPZUG13E9064056E,Yeah!,Usher,0.845517,2000s,http://dbpedia.org/resource/Yeah!_(Usher_song),HipHop,Angel,Lose Yourself;In Da Club;Low (Feat. T-Pain) (Album Version);Crazy In Love;Don't Cha;Crazy;Lonely;Shut Up;The Way I Are;Gold Digger;Ms. Jackson;Single Ladies;Angel;Maria Maria;Smack That;The Real Slim Shady;Just Lose It;
SOCLROX133EB876FA7,In Da Club,50 Cent,0.913415,2000s,http://dbpedia.org/resource/In_da_Club,HipHop,Angel,Lose Yourself;Yeah!;Low (Feat. T-Pain) (Album Version);Crazy In Love;Don't Cha;Crazy;Lonely;Shut Up;The Way I Are;Gold Digger;Ms. Jackson;Single Ladies;Angel;Maria Maria;Smack That;The Real Slim Shady;Just Lose It;
SOJEXQZ136E707083C,I Gotta Feeling,The Black Eyed Peas,0.752687,2000s,http://dbpedia.org/resource/I_Gotta_Feeling,Electronic HipHop Pop,Promiscuous,Apologize;Bad Romance;Promiscuous;
SOAVFVI13AA508D4DB,Big Girls Don't Cry,Fergie,0.696293,2000s,http://dbpedia.org/resource/Big_Girls_Don%27t_Cry_(Fergie_song),Pop,Toxic,Can't Get You out of My Head;Beautiful;Toxic;Bad Day;Boom Boom Pow;Bye Bye Bye;Oops!...I Did It Again;Lose My Breath;
SOTVSGJ144BF2A13BB,Low (Feat. T-Pain) (Album Version),Flo Rida,0.79096,2000s,http://dbpedia.org/resource/Low_(Flo_Rida_song),HipHop,Angel,Lose Yourself;Yeah!;In Da Club;Crazy In Love;Don't Cha;Crazy;Lonely;Shut Up;The Way I Are;Gold Digger;Ms. Jackson;Single Ladies;Angel;Maria Maria;Smack That;The Real Slim Shady;Just Lose It;
SOLCZCF144B0216115,Beautiful Girls,Sean Kingston,0.78707,2000s,http://dbpedia.org/resource/Beautiful_Girls_(Sean_Kingston_song),HipHop Pop,Ain't No Other Man,Say It Right;Don't Matter;Ain't No Other Man;
SOAPNHS144BF022BBA,SexyBack,Justin Timberlake,0.968045,2000s,http://dbpedia.org/resource/SexyBack,Electronic Pop,Hero,Poker Face;Hung Up;JUST DANCE;All The Things She Said;4 Minutes;Hero;Take A Bow;
SOUEDZW144BF02E376,Crazy In Love,Beyonce,0.716999,2000s,http://dbpedia.org/resource/Crazy_in_Love,HipHop,Angel,Lose Yourself;Yeah!;In Da Club;Low (Feat. T-Pain) (Album Version);Don't Cha;Crazy;Lonely;Shut Up;The Way I Are;Gold Digger;Ms. Jackson;Single Ladies;Angel;Maria Maria;Smack That;The Real Slim Shady;Just Lose It;
SOVWGKT147F6FCA999,Can't Get You out of My Head,Kylie Minogue,0.744249,2000s,http://dbpedia.org/resource/Can%27t_Get_You_Out_of_My_Head,Pop,Bye Bye Bye,Big Girls Don't Cry;Beautiful;Toxic;Bad Day;Boom Boom Pow;Bye Bye Bye;Oops!...I Did It Again;Lose My Breath;
SOXWEKB144BD70EAAC,How You Remind Me,Nickelback,0.462505,2000s,http://dbpedia.org/resource/How_You_Remind_Me,Rock,Bring Me To Life,Whenever Wherever;Beautiful Day;Bring Me To Life;Boulevard Of Broken Dreams;A Thousand Miles;Viva La Vida;How to Save a Life;Hanging By A Moment;
SOSCOHV14788D04897,Hung Up,Madonna,0.649256,2000s,http://dbpedia.org/resource/Hung_Up,Electronic Pop,All The Things She Said,Poker Face;SexyBack;JUST DANCE;All The Things She Said;4 Minutes;Hero;Take A Bow;
SOSGYSS12A6701FA4A,Music,Madonna,0.733638,2000s,http://dbpedia.org/resource/Music_(Madonna_song),Electronic,White Flag,White Flag;
