id,title,artist,danceability,decade,Track URI,Genre
SOTITAT144C281345F,Lose Yourself,Eminem,0.776651,2000s,http://dbpedia.org/resource/Lose_Yourself,HipHop
SODETSB15069FF687E,Umbrella,Rihanna,0.319793,2000s,http://dbpedia.org/resource/Umbrella_(song),Electronic HipHop
SOLZSKI1460D0A2977,Poker Face,Lady Gaga,0.853247,2000s,http://dbpedia.org/resource/Poker_Face_(Lady_Gaga_song),Electronic Pop
SOGWIPI13FAE3BB504,Hey Ya!,OutKast,0.645912,2000s,http://dbpedia.org/resource/Hey_Ya!,Electronic HipHop
SOZPZUG13E9064056E,Yeah!,Usher,0.845517,2000s,http://dbpedia.org/resource/Yeah!_(Usher_song),HipHop
SOCLROX133EB876FA7,In Da Club,50 Cent,0.913415,2000s,http://dbpedia.org/resource/In_da_Club,HipHop
SOJEXQZ136E707083C,I Gotta Feeling,The Black Eyed Peas,0.752687,2000s,http://dbpedia.org/resource/I_Gotta_Feeling,Electronic HipHop Pop
SOAVFVI13AA508D4DB,Big Girls Don't Cry,Fergie,0.696293,2000s,http://dbpedia.org/resource/Big_Girls_Don%27t_Cry_(Fergie_song),Pop
SOTVSGJ144BF2A13BB,Low (Feat. T-Pain) (Album Version),Flo Rida,0.79096,2000s,http://dbpedia.org/resource/Low_(Flo_Rida_song),HipHop
SOLCZCF144B0216115,Beautiful Girls,Sean Kingston,0.78707,2000s,http://dbpedia.org/resource/Beautiful_Girls_(Sean_Kingston_song),HipHop Pop
SOAPNHS144BF022BBA,SexyBack,Justin Timberlake,0.968045,2000s,http://dbpedia.org/resource/SexyBack,Electronic Pop
SOUEDZW144BF02E376,Crazy In Love,Beyonce,0.716999,2000s,http://dbpedia.org/resource/Crazy_in_Love,HipHop
SOVWGKT147F6FCA999,Can't Get You out of My Head,Kylie Minogue,0.744249,2000s,http://dbpedia.org/resource/Can%27t_Get_You_Out_of_My_Head,Pop
SOXWEKB144BD70EAAC,How You Remind Me,Nickelback,0.462505,2000s,http://dbpedia.org/resource/How_You_Remind_Me,Rock
SOSCOHV14788D04897,Hung Up,Madonna,0.649256,2000s,http://dbpedia.org/resource/Hung_Up,Electronic Pop
SOSGYSS12A6701FA4A,Music,Madonna,0.733638,2000s,http://dbpedia.org/resource/Music_(Madonna_song),Electronic
SOBRPCD144B06354C9,Girlfriend,Avril Lavigne,0.553131,2000s,http://dbpedia.org/resource/Girlfriend_(Avril_Lavigne_song),Rock Pop
SOTBSMB144AD5695D3,Whenever Wherever,Shakira,0.783009,2000s,"http://dbpedia.org/resource/Whenever,_Wherever",Rock
SOAHATS14605DEDF8F,Apologize,Timbaland,0.657365,2000s,http://dbpedia.org/resource/Apologize_(OneRepublic_song),Electronic HipHop Pop
SOIPHVH13E9063C12F,Don't Cha,The Pussycat Dolls,0.87137,2000s,http://dbpedia.org/resource/Don%27t_Cha,HipHop
SOVDHXE1374C4E4245,JUST DANCE,Lady Gaga,0.784153,2000s,http://dbpedia.org/resource/Just_Dance_(song),Electronic Pop
SOWLPNC13E37458CC4,Bad Romance,Lady Gaga,0.650942,2000s,http://dbpedia.org/resource/Bad_Romance,Electronic HipHop Pop
SOKJXCE144BEFA3D5B,All The Things She Said,t.A.T.u.,0.602084,2000s,http://dbpedia.org/resource/All_the_Things_She_Said,Electronic Pop
SOEHUMK1366F636FE6,So What,Pink,0.468927,2000s,http://dbpedia.org/resource/So_What_(Pink_song),Electronic Rock Pop
SOLJJFV1404699CAFE,Beautiful Day,U2,0.451347,2000s,http://dbpedia.org/resource/Beautiful_Day,Rock
SOBKMKP14509A7F36E,Crazy,Gnarls Barkley,0.846379,2000s,http://dbpedia.org/resource/Crazy_(Gnarls_Barkley_song),HipHop
SOQGFBI14011485F7F,You're Beautiful,James Blunt,0.478369,2000s,http://dbpedia.org/resource/You%27re_Beautiful,Rock Pop
SOZVMMI14373B6B09E,Complicated,Avril Lavigne,0.547853,2000s,http://dbpedia.org/resource/Complicated_(Avril_Lavigne_song),Rock Pop
SOKVZYK14305C22147,Beautiful Liar,Beyonce,0.756361,2000s,http://dbpedia.org/resource/Beautiful_Liar,Electronic HipHop
SOOJKXO12A8C13AEC1,4 Minutes,Madonna ft. Justin Timberlake and Timberland,0.704973,2000s,http://dbpedia.org/resource/4_Minutes,Electronic Pop
SOPUOFX135C3A7B2A8,Beautiful,Christina Aguilera,0.551281,2000s,http://dbpedia.org/resource/Beautiful_(Christina_Aguilera_song),Pop
SOTBFFM13E943A6310,No One,Alicia Keys,0.470296,2000s,http://dbpedia.org/resource/No_One_(Alicia_Keys_song),Funk/Soul 
SOAPJQO13E907D9651,Bring Me To Life,Evanescence,0.292108,2000s,http://dbpedia.org/resource/Bring_Me_to_Life,Rock
SOCCGPQ1312A8A57EB,Hot N Cold,Katy Perry,0.700636,2000s,http://dbpedia.org/resource/Hot_n_Cold,Electronic Pop Rock
SOPFSJP13A18D33C7C,Right Round,Flo Rida,0.663643,2000s,http://dbpedia.org/resource/Right_Round,Electronic HipHop
SOFWFZJ1369412E3F7,Toxic,Britney Spears,0.564215,2000s,http://dbpedia.org/resource/Toxic_(song),Pop
SOCUEKL12A6701F24D,Bad Day,Daniel Powter,0.5728,2000s,http://dbpedia.org/resource/Bad_Day_(Daniel_Powter_song),Pop
SOBKCPD140469980AA,Boom Boom Pow,The Black Eyed Peas,0.897314,2000s,http://dbpedia.org/resource/Boom_Boom_Pow,Pop
SOIRLYL13E90795641,Don't Stop The Music,Rihanna,0.826338,2000s,http://dbpedia.org/resource/Don%27t_Stop_the_Music_(Rihanna_song),Electronic HipHop
SOJUNQL136673EC251,We Belong Together,Mariah Carey,0.691493,2000s,http://dbpedia.org/resource/We_Belong_Together,Electronic HipHop
SOFIIHC1311AFE4BA8,Boulevard Of Broken Dreams,Green Day,0.48521,2000s,http://dbpedia.org/resource/Boulevard_of_Broken_Dreams_(Green_Day_song),Rock
SOEJTNJ144D13492C9,Stronger,Kanye West,0.411862,2000s,http://dbpedia.org/resource/Stronger_(Kanye_West_song),Electronic HipHop
SOVWDLO144F4B47B0B,Lonely,Akon,0.62316,2000s,http://dbpedia.org/resource/Lonely_(Akon_song),HipHop
SOKMZRR13D5B3C7DE3,Bye Bye Bye,NSYNC,0.577955,2000s,http://dbpedia.org/resource/Bye_Bye_Bye,Pop
SOOXUQH144BE5362B3,Promiscuous,Nelly Furtado,0.795387,2000s,http://dbpedia.org/resource/Promiscuous_(song),Electronic HipHop Pop
SONTDWG144FD86EC10,Say It Right,Nelly Furtado,0.800811,2000s,http://dbpedia.org/resource/Say_It_Right,HipHop Pop
SOKHUIW13E90638317,Shut Up,The Black Eyed Peas,0.762451,2000s,http://dbpedia.org/resource/Shut_Up_(The_Black_Eyed_Peas_song),HipHop
SOAJHEY144B9F67BDF,A Thousand Miles,Vanessa Carlton,0.568449,2000s,http://dbpedia.org/resource/A_Thousand_Miles,Rock
SOUQVFP13741BDB385,The Way I Are,Timbaland,0.713715,2000s,http://dbpedia.org/resource/The_Way_I_Are,HipHop
SOMRDNC136CB079C0E,Gold Digger,Kanye West,0.682832,2000s,http://dbpedia.org/resource/Gold_Digger_(Kanye_West_song),HipHop
SOMZGAB13E87AEECC3,Fuck It (I Don't Want You Back),Eamon,0.798046,2000s,http://dbpedia.org/resource/Fuck_It_(I_Don%27t_Want_You_Back),Electronic HipHop
SOYPYQD146194086AF,Stan,Eminem,0.688883,2000s,http://dbpedia.org/resource/Stan_(song),Electronic HipHop
SOPTPCY13E907DABF6,Oops!...I Did It Again,Britney Spears,0.735927,2000s,http://dbpedia.org/resource/Oops!..._I_Did_It_Again_(song),Pop
SOARAGH14124566742,Viva La Vida,Coldplay,0.480452,2000s,http://dbpedia.org/resource/Viva_la_Vida,Rock
SOSQFGB136F2064CAF,Hey There Delilah,Plain White T's,0.655194,2000s,http://dbpedia.org/resource/Hey_There_Delilah,Rock Pop
SODJNGM142ECDEBF86,Hollaback Girl,Gwen Stefani,0.959466,2000s,http://dbpedia.org/resource/Hollaback_Girl,HipHop Funk/Soul Pop
SORVQOS13778FC3BEC,I'm Yours,Jason Mraz,0.6816,2000s,http://dbpedia.org/resource/I%27m_Yours_(Jason_Mraz_song),Rock Pop
SOARCRK1315CD473AE,Don't Phunk With My Heart,The Black Eyed Peas,0.68405,2000s,http://dbpedia.org/resource/Don%27t_Phunk_with_My_Heart,Electronic HipHop
SOSRDPS144B28ECEB5,Ms. Jackson,OutKast,0.831453,2000s,http://dbpedia.org/resource/Ms._Jackson,HipHop
